trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-251.66119240703878,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 5}",0
2,False,"{'a': 0.5, 'e': -0.5000000000000003}",30,12,-4.951923629708311,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': -1.400000000000001}",25,2,-178.91011695994936,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 3}",1
4,False,"{'a': 0.5, 'e': -2.5499999999999994}",25,0,-150.58522239508588,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': -3.799999999999995}",20,0,-65.16840966035913,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': -4.799999999999992}",20,0,-86.62173506327869,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': -5.799999999999988}",20,0,-169.72459052019732,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': -6.799999999999985}",30,0,-118.26614299899639,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': -8.299999999999985}",20,0,-114.38236605415699,"{0: 10, 1: 0, 2: 8, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': -9.299999999999999}",30,0,-236.42295130541015,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': -10.80000000000002}",20,0,-87.55884445944491,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': -11.800000000000034}",30,0,-207.11461425498447,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': -13.300000000000056}",25,0,-115.4863246472376,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': -14.550000000000074}",25,0,-159.8244490274217,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': -15.800000000000091}",20,0,-53.161678066725635,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': -16.800000000000104}",25,0,-165.19410290705534,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': -18.05000000000012}",25,0,-195.63462209460738,"{0: 13, 1: 1, 2: 5, 3: 4, 4: 2}",0
18,False,"{'a': 0.5, 'e': -19.30000000000014}",25,0,-138.71849874824755,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': -20.550000000000157}",20,0,-79.10733572708567,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -21.55000000000017}",20,0,-98.41945843021206,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",35,0,-149.5396072173548,"{0: 24, 1: 1, 2: 7, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-16.02911872167942,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-85.57234056359671,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-191.69167020170093,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",1
5,True,"{'a': 0, 'e': 0}",20,0,-141.80196792993092,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,12,-15.84856153958726,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-54.82488153378688,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-142.84575450255863,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-32.77161813468175,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-123.53687768830494,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
